Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
1.427894125e0,1.990630436e-2,-2.110405396e-2,8.449226618e-4,2.902336888e-2
1.437826125e0,9.066774817e-3,-1.991082910e-2,-1.472095013e-2,2.636956378e-2
1.447758125e0,7.061608111e-3,-2.526666851e-2,-1.636577189e-2,3.092101771e-2
1.457691125e0,1.923863000e-2,-3.224728469e-2,-9.779468179e-3,3.880270933e-2
1.467623125e0,1.515803977e-2,-4.089331579e-2,-2.280472577e-2,4.921468240e-2
1.477555125e0,1.199246800e-2,-2.097388032e-2,-2.774620771e-2,3.679096339e-2
1.487487125e0,2.386651161e-2,-3.072641476e-2,-9.782976508e-3,4.011769647e-2
1.497419125e0,1.749150480e-2,-2.223577341e-2,-1.551266313e-3,2.833352760e-2
1.507351125e0,1.247299378e-2,-1.628805874e-2,2.339470983e-3,2.064823372e-2
1.517283125e0,2.365953845e-2,-2.248224269e-2,-2.220889449e-2,3.947733515e-2
1.527215125e0,9.655011564e-3,-1.129555070e-2,-9.636211395e-3,1.771059807e-2
1.537147125e0,1.678158544e-2,-1.567358033e-2,-3.059438646e-2,3.825309416e-2
1.547080125e0,2.901103583e-2,-1.056646686e-2,-2.865018725e-2,4.212034724e-2
1.557012125e0,1.622461988e-2,-1.177341440e-2,-1.412979662e-2,2.452555258e-2
1.566944125e0,2.171628028e-2,-1.421412444e-2,-1.877131641e-2,3.203124228e-2
1.576876125e0,1.659273522e-2,-8.087338787e-3,-3.284205616e-2,3.767392418e-2
1.586808125e0,1.618704923e-2,-2.276222382e-2,-2.460917652e-2,3.722567615e-2
1.596739833e0,1.958835059e-2,-1.580563604e-2,-3.239357471e-2,4.102274116e-2
1.606671833e0,1.634672618e-2,-1.775615755e-2,-3.359283864e-2,4.136393835e-2
1.616603833e0,7.548344275e-3,-9.579475131e-3,-3.898455620e-2,4.084775963e-2
1.626535833e0,5.081727187e-3,-1.997306541e-2,-3.299759209e-2,3.890486315e-2
1.636468833e0,2.412808314e-2,-1.911232785e-2,-4.302790582e-2,5.290412226e-2
1.646400833e0,1.690722292e-2,-1.557045006e-2,-3.240117610e-2,3.972567576e-2
1.656332833e0,1.417558877e-2,-2.349725537e-2,-4.303082943e-2,5.103646352e-2
1.666264833e0,1.995410764e-2,-2.469198771e-2,-3.434888363e-2,4.677292459e-2
1.676196833e0,1.970137773e-2,-1.875627810e-2,-2.327308774e-2,3.579914616e-2
1.686128833e0,2.306864533e-2,-1.974452150e-2,-9.951376319e-3,3.195369176e-2
1.696060833e0,1.451597553e-2,-2.040919460e-2,-2.168732285e-3,2.513865887e-2
1.705992833e0,2.324263197e-2,-9.437460881e-3,-1.564013243e-2,2.956178870e-2
1.715924833e0,2.945544935e-2,-1.815947838e-2,-7.705460787e-3,3.545087132e-2
1.725857833e0,4.100252625e-3,-2.355560875e-2,-1.608861387e-2,2.881878331e-2
1.735789833e0,5.772488922e-3,-1.618511120e-2,7.601380348e-5,1.718386543e-2
1.745721833e0,-2.219083436e-3,-3.519856629e-2,-4.713440537e-3,3.558201683e-2
1.755653833e0,2.042086163e-2,-2.280917513e-2,-5.164260864e-3,3.104737751e-2
1.765585833e0,2.685721852e-2,-1.152668017e-2,-2.297780335e-2,3.717733165e-2
1.775517833e0,5.341008946e-3,-2.001248843e-2,-2.492434144e-2,3.240754335e-2
1.785449833e0,1.080947006e-2,-5.591409104e-3,-3.405418396e-2,3.616346145e-2
1.795381833e0,3.807167793e-2,-2.066202273e-2,-2.013313293e-2,4.776729933e-2
1.805313833e0,1.982925131e-2,-1.788952888e-2,-1.983492494e-2,3.326648010e-2
