"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
1.699312458e0	1.622766340e-2	3.047906840e-3	-2.616219699e-2	3.093682833e-2
1.709245458e0	1.880637686e-2	1.224048359e-2	-4.158013523e-2	4.724845918e-2
1.719178458e0	2.829034595e-2	9.840836534e-3	-4.068200290e-2	5.051941308e-2
1.729111458e0	1.885489162e-2	-1.196125163e-2	-3.035523534e-2	3.768313669e-2
1.739044458e0	5.954395572e-3	-3.879367202e-3	-4.262971044e-2	4.321801162e-2
1.748977458e0	1.752012875e-2	-1.385938117e-2	-2.541609228e-2	3.383807182e-2
1.758910458e0	1.283954910e-2	-4.538348406e-3	-2.317076147e-2	2.687628721e-2
1.768842458e0	1.827370008e-2	-7.960865339e-3	-2.856014013e-2	3.482793557e-2
1.778775458e0	1.514866482e-2	-1.117830032e-2	-2.840986669e-2	3.408162216e-2
1.788708458e0	7.972848705e-3	-6.947894613e-3	-8.052200675e-3	1.329200857e-2
1.798641458e0	1.673635860e-2	4.030650202e-3	-1.164531469e-2	2.078377238e-2
1.808574458e0	3.289102887e-2	1.378665186e-2	-6.106832027e-3	3.618266086e-2
1.818507458e0	5.134360122e-3	8.564343676e-3	2.425425053e-3	1.027581253e-2
1.828440458e0	1.016259785e-2	2.459160746e-3	6.466435790e-3	1.229392771e-2
1.838373458e0	2.431508441e-2	-2.180920076e-3	-4.461425543e-3	2.481701151e-2
1.848305458e0	2.932086289e-2	7.315784977e-3	-3.862085938e-3	3.046554477e-2
1.858238458e0	3.226111244e-2	-3.325489699e-3	6.166473627e-3	3.301308308e-2
1.868171458e0	2.927020910e-2	-1.451683205e-2	-6.108001471e-3	3.323840001e-2
1.878104458e0	2.552083510e-2	-5.217945613e-3	8.113011718e-3	2.728297893e-2
1.888037458e0	3.757030659e-2	6.207408705e-3	-1.104714453e-2	3.964970697e-2
1.897970458e0	1.302535238e-2	3.619851326e-3	-3.065695167e-2	3.350539977e-2
1.907903458e0	4.016089265e-3	2.063909525e-2	-1.598745704e-2	2.641401159e-2
1.917835458e0	6.460718766e-3	1.722457255e-2	-2.167562842e-2	2.842990774e-2
1.927768458e0	1.164974693e-2	-1.004213607e-2	-2.646566749e-2	3.061033577e-2
1.937701458e0	1.564042479e-2	2.722061612e-4	-2.541784644e-2	2.984566805e-2
1.947634458e0	5.120192044e-3	-3.310853387e-3	-3.035757422e-2	3.096385683e-2
1.957567458e0	6.672287474e-3	-4.160901499e-3	-2.975940406e-2	3.078075132e-2
1.967500458e0	5.004794046e-3	-8.324749446e-3	-2.257434547e-2	2.457540417e-2
1.977433458e0	5.709587956e-3	-3.766269260e-3	-3.619660378e-2	3.683718642e-2
1.987366458e0	1.481146548e-2	6.486585843e-3	-3.739411354e-2	4.074033668e-2
1.997298458e0	1.122721936e-2	-6.621880364e-4	-2.481909156e-2	2.724841745e-2
2.007231458e0	-3.691882855e-3	-1.349471135e-2	-3.859103858e-2	4.104881840e-2
2.017164458e0	-2.387140637e-3	2.128665154e-3	-3.649539649e-2	3.663527837e-2
2.027097458e0	2.508218885e-2	6.223063711e-3	-2.511963844e-2	3.603940836e-2
2.037030458e0	3.022019892e-2	1.553226043e-3	-2.886244118e-2	4.181762122e-2
2.046963458e0	1.561993898e-2	-8.482934902e-3	-1.299485207e-2	2.201837547e-2
2.056896458e0	2.798128862e-2	-8.418396260e-3	-1.239551246e-2	3.174067797e-2
2.066829458e0	1.766083423e-2	3.203821932e-3	7.962153554e-3	1.963582007e-2
2.076761458e0	4.245311539e-2	1.524455002e-2	3.171529770e-3	4.521860140e-2
2.086694458e0	3.706725419e-2	1.959493328e-3	-7.007887959e-3	3.777474607e-2
2.096627458e0	1.773232215e-2	4.879204533e-3	-1.075069070e-2	2.130303350e-2
2.106560458e0	1.288130531e-2	8.568464136e-3	-1.227915287e-4	1.547131804e-2
2.116493458e0	1.561930286e-2	-2.838740973e-3	-7.307850122e-3	1.747643401e-2
2.126426458e0	1.154395801e-2	2.492247764e-3	-4.614037871e-3	1.267925908e-2
2.136359458e0	1.348720590e-2	-5.759690143e-3	1.523199677e-3	1.474445288e-2
2.146292458e0	2.029172724e-2	5.459019919e-3	-2.518395782e-3	2.116358689e-2
2.156224458e0	1.479086318e-2	6.441804394e-4	-2.018108010e-2	2.502919488e-2
2.166157458e0	3.528536090e-2	-1.306575869e-2	-1.838481545e-2	4.187806327e-2
2.176090458e0	1.255897183e-2	6.703787064e-4	-7.009057403e-3	1.439805774e-2
2.186023458e0	1.405537824e-2	-7.576885996e-3	-2.512139261e-2	2.976654541e-2
2.195956458e0	2.617120079e-2	-6.279059937e-3	-1.344625711e-2	3.008587999e-2
2.205889458e0	2.424659890e-3	-2.620374877e-4	-2.182882547e-2	2.196463660e-2
2.215822458e0	1.986074862e-2	1.015028672e-2	-4.053991556e-2	4.627053501e-2
2.225754458e0	1.828050889e-2	-9.463197766e-3	-2.347481668e-2	3.122172538e-2
2.235687458e0	1.222789494e-2	7.194267958e-4	-2.781578958e-2	3.039337329e-2
2.245620458e0	3.550164392e-3	5.297586517e-3	-4.488030374e-2	4.533111243e-2
2.255553458e0	2.304676167e-2	1.099450132e-3	-4.053991556e-2	4.664597268e-2
2.265486458e0	2.320426418e-2	-2.607949544e-5	-5.206653178e-2	5.700317787e-2
2.275419458e0	1.174104800e-2	6.919750320e-3	-4.503174663e-2	4.704884012e-2
2.285352458e0	1.919674246e-2	-1.096494547e-3	-2.153061748e-2	2.886667127e-2
2.295285458e0	2.132802059e-2	-5.151040675e-3	-2.721937358e-2	3.496157863e-2
2.305217458e0	1.554687962e-2	-5.800748561e-3	-2.662120342e-2	3.136945363e-2
2.315150458e0	1.359291488e-2	-8.038477991e-3	-1.165350080e-2	1.962622083e-2
2.325083458e0	1.781352992e-2	-7.096039304e-3	-1.180435896e-2	2.251707158e-2
2.335016583e0	1.495727471e-2	1.306389946e-2	-3.156443954e-2	3.729208199e-2
2.344949583e0	2.397643012e-2	-8.313109833e-3	6.755872965e-3	2.626059436e-2
2.354882583e0	2.656610940e-2	-8.319719927e-4	-4.021714926e-3	2.688167661e-2
2.364815583e0	1.301432604e-2	-3.431954705e-3	-5.219809413e-3	1.443597609e-2
2.374747583e0	1.691766225e-3	-2.863806342e-3	-5.519186854e-3	6.443980389e-3
2.384680583e0	2.678681210e-2	5.447398578e-3	1.334100723e-2	3.041693489e-2
2.394613583e0	1.996735523e-2	-2.337684841e-3	9.747893214e-3	2.234236934e-2
2.404546583e0	2.709608870e-2	2.849064963e-3	-8.065064549e-3	2.841408911e-2
2.414479583e0	3.212527431e-2	-3.503665323e-3	7.353458405e-3	3.314185074e-2
2.424412583e0	1.387801917e-2	4.687840696e-3	6.006259918e-3	1.583194318e-2
2.434345583e0	2.787036968e-2	7.574072024e-3	-2.378238022e-2	3.741290797e-2
2.444278583e0	3.363000958e-2	-4.098733719e-3	-3.081833482e-2	4.579898387e-2
2.454210583e0	1.399890693e-2	-1.011838285e-2	-3.156794786e-2	3.598453000e-2
2.464143583e0	1.990596175e-2	-1.184140655e-2	-2.992137194e-2	3.783853487e-2
2.474076583e0	1.266035935e-2	-7.147060828e-3	-3.501078844e-2	3.790937199e-2
2.484009583e0	1.156924836e-2	-3.487896114e-3	-1.929405749e-2	2.276562279e-2
2.493942583e0	1.866952575e-2	6.525629712e-3	-4.519079089e-2	4.932892272e-2
2.503875583e0	1.567944467e-2	-2.127838321e-4	-2.468343616e-2	2.924315788e-2
2.513808583e0	1.557371057e-2	4.336285992e-3	-2.348592639e-2	2.851197249e-2
2.523740583e0	2.394985042e-2	-2.293721088e-3	-3.082067370e-2	3.909949385e-2
2.533673583e0	2.629433493e-2	-7.583349911e-3	-2.797658801e-2	3.913551740e-2
2.543606583e0	-1.044237684e-2	-7.623686562e-3	-3.037219226e-2	3.300960305e-2
2.553539583e0	1.624697405e-2	-1.517398143e-4	-5.375345349e-3	1.711378183e-2
2.563472583e0	2.240982858e-2	-8.290319396e-3	-1.869764149e-2	3.034026384e-2
2.573405583e0	2.515928987e-2	3.533303398e-3	-8.818770647e-3	2.689321133e-2
2.583338583e0	1.762825541e-2	2.263119137e-3	-1.705165029e-2	2.462997918e-2
2.593271583e0	1.451610458e-2	-5.515162325e-3	-2.558390737e-2	2.992775674e-2
2.603203583e0	2.065151601e-2	1.086723758e-2	-1.585472524e-2	2.821266167e-2
2.613136583e0	3.960328298e-3	-4.446597369e-3	-7.472741604e-3	9.555014153e-3
2.623069583e0	1.551694690e-2	3.867430659e-4	-1.645406485e-2	2.261993504e-2
2.633002583e0	1.367206471e-2	-3.481363677e-3	-4.179589748e-3	1.471442207e-2
2.642935583e0	2.088436310e-2	5.723871379e-3	-1.935428381e-3	2.174086495e-2
2.652868583e0	2.723461289e-2	-1.426058239e-3	-1.525889397e-2	3.125046602e-2
2.662801583e0	1.332148416e-2	4.864563653e-4	-1.256449699e-2	1.831843783e-2
2.672733583e0	2.198175300e-2	5.691031041e-4	-1.675636590e-2	2.764592450e-2
2.682666583e0	2.934926300e-2	3.693096838e-3	-8.374966979e-3	3.074342653e-2
2.692599583e0	1.531573644e-2	1.122691900e-2	-3.008041620e-2	3.557312092e-2
2.702532583e0	2.156855586e-2	-1.314070355e-3	-3.921142817e-2	4.477125731e-2
2.712465583e0	1.327594325e-2	-4.697095742e-4	-2.948166132e-2	3.233635184e-2
2.722398583e0	3.044215100e-2	1.653656997e-2	-3.487103999e-2	4.915457388e-2
2.732331583e0	1.993467706e-2	5.147591732e-3	-2.094998896e-2	2.937330570e-2
2.742264583e0	2.259635019e-2	-1.659430666e-3	-2.633819818e-2	3.474261699e-2
2.752196583e0	1.630779309e-3	-3.031872679e-5	-3.127909541e-2	3.132159271e-2
2.762129583e0	1.314039063e-2	-5.156645779e-3	-2.783567011e-2	3.121034111e-2
2.772062583e0	2.322894583e-2	1.685510161e-3	-3.172757685e-2	3.935815039e-2
2.781995583e0	3.913299325e-3	-1.185552210e-2	-1.660901606e-2	2.077803480e-2
2.791928583e0	1.163297501e-2	1.602762924e-3	-1.960279047e-2	2.285091576e-2
2.801861583e0	1.133319443e-2	1.592644500e-3	-2.020154536e-2	2.321810172e-2
2.811794583e0	2.590396476e-2	9.333385010e-3	-2.184753656e-2	3.514885944e-2
2.821726583e0	2.172477930e-2	9.549494446e-3	-1.391403437e-2	2.750925721e-2
2.831659583e0	4.359817608e-3	2.240467572e-2	3.000791073e-3	2.302134337e-2
2.841592583e0	1.097122552e-2	2.201714236e-3	1.138335943e-2	1.596233714e-2
2.851525583e0	4.957921532e-3	6.810795679e-3	-5.981116891e-3	1.033158666e-2
2.861458583e0	2.559544420e-2	-1.275119219e-2	2.251178026e-3	2.868427215e-2
2.871391583e0	5.433085462e-3	-5.052423729e-3	-1.601084590e-2	1.764631943e-2
2.881324583e0	1.787679177e-2	-6.115548033e-4	-7.030692101e-3	1.921937342e-2
2.891256583e0	1.886028431e-2	-6.938434001e-3	5.394056439e-3	2.080740338e-2
2.901189583e0	1.715642508e-2	1.489353435e-2	-1.406606197e-2	2.672104763e-2
2.911122583e0	1.455630076e-2	1.144817216e-2	-2.619084835e-2	3.207658141e-2
2.921055583e0	1.695364775e-3	-5.705151153e-3	-2.484306514e-2	2.554605443e-2
2.930988583e0	3.014009206e-2	-1.901519098e-3	-3.023127437e-2	4.273138044e-2
2.940921583e0	2.216846191e-2	4.902680190e-3	-2.095115840e-2	3.089381839e-2
2.950854583e0	1.195849819e-2	3.132924442e-3	-2.005361080e-2	2.355776307e-2
2.960787583e0	1.343525133e-2	8.820278132e-3	-2.020329952e-2	2.581620801e-2
2.970719583e0	1.404751762e-2	-1.184523922e-2	-3.412435055e-2	3.875711217e-2
2.980652583e0	9.066770249e-3	-1.963951830e-3	-2.035298824e-2	2.236755597e-2
