Time_s,Bx_nT,By_nT,Bz_nT,zAut_m
36026.0,514.330889,136.103532,65.5870789,26.3
36026.1,510.870174,161.177119,56.7949775,26.3
36026.2,516.02074,175.132025,43.6238862,26.3
36026.3,516.887461,181.326239,45.2503968,26.3
36026.4,523.002156,183.340245,48.0841405,26.3
36026.5,526.761491,182.199683,50.6063635,26.3
36026.6,522.565356,171.10557,59.9036741,26.3
36026.7,522.077589,192.714318,45.3518484,26.3
36026.8,515.936929,201.303796,43.9497323,26.3
36026.9,516.032386,212.541231,37.787532,26.3
36027.0,513.60611,217.544387,39.0842851,26.3
36027.1,517.234379,229.127792,29.7987383,26.3
36027.2,519.017322,254.874093,20.9883826,26.3
36027.3,510.673334,253.480621,15.3119825,26.3
36027.4,520.690827,245.858067,14.4635987,26.3
36027.5,519.236504,247.151087,25.2748133,26.3
36027.6,517.806849,248.306449,14.8709109,26.3
36027.7,514.995455,228.363745,19.2195318,26.3
36027.8,507.23292,211.521907,31.0307928,26.3
36027.9,494.086534,185.917964,43.8364166,26.3
36028.0,502.753004,194.74889,33.966225,26.3
36028.1,518.371956,199.632373,28.5523349,26.3
36028.2,522.788363,190.137493,17.0970422,26.3
36028.3,508.760468,170.798189,25.0510593,26.3
36028.4,512.190799,146.536566,38.0101087,26.3
36028.5,517.269765,156.348387,36.9932026,26.3
36028.6,523.735931,157.127321,36.9731731,26.3
36028.7,529.182171,140.600139,48.9251753,26.3
36028.8,530.631097,139.323298,51.5294819,26.3
36028.9,524.306325,122.576512,53.7182596,26.3
36029.0,509.192151,114.76962,64.2858684,26.3
36029.1,502.949118,119.832633,69.0042717,26.3
36029.2,514.511271,131.517721,60.4204613,26.3
36029.3,521.405268,121.550523,68.1116426,26.3
36029.4,531.900162,133.327774,61.645168,26.3
36029.5,528.518177,155.278777,53.7034966,26.3
36029.6,536.67635,169.076241,37.9309597,26.3
36029.7,524.213762,184.697091,39.1545728,26.3
36029.8,526.878804,208.385562,31.1624621,26.3
36029.9,519.992787,203.085035,34.9696378,26.3
36030.0,518.279836,193.835602,30.4416781,26.3
36030.1,509.671373,186.001735,38.3729829,26.3
36030.2,518.389976,205.053592,29.0915738,26.3
36030.3,525.111384,205.146396,18.9631487,26.3
36030.4,537.24582,201.681419,21.4170352,26.3
36030.5,539.025647,204.741543,17.6445274,26.3
36030.6,529.291904,208.70969,12.8417147,26.3
36030.7,535.492831,226.757683,-0.35592107,26.3
36030.8,532.065443,240.897522,-3.29901024,26.3
36030.9,532.621753,251.463601,-17.5766648,26.3
36031.0,524.287923,249.427482,-15.1789721,26.3
36031.1,523.681556,247.453562,-10.4366582,26.3
36031.2,524.698784,241.900236,-12.2510747,26.3
36031.3,521.480723,228.352213,-6.49389618,26.3
36031.4,521.779333,228.876455,0.66465914,26.3
36031.5,521.629905,251.84108,-8.69678806,26.3
36031.6,521.051857,262.312337,-10.7602413,26.3
36031.7,523.716319,264.044305,-1.1673505,26.3
36031.8,521.575279,257.393825,-1.72706588,26.3
36031.9,525.642398,264.188227,-7.71420497,26.3
36032.0,528.743721,263.759802,-4.24097001,26.3
36032.1,527.378302,247.288892,-2.64323076,26.3
36032.2,529.517297,241.957543,-6.37985978,26.3
36032.3,532.573236,236.756361,1.20004297,26.3
36032.4,528.002954,242.410215,-7.68832668,26.3
36032.5,531.90163,248.271993,-11.2779247,26.3
