Time_s,Bx_nT,By_nT,Bz_nT,zAut_m,zTrue_m
24.1,-36.5763516,58.1181031,-32.9413688,15.2,15.2
24.2,-23.4773644,65.969118,-49.6433227,15.2,15.2
24.3,-13.2855428,63.972816,-48.2735898,15.2,15.2
24.4,-8.68837961,44.9349885,-28.9451443,15.2,15.2
24.5,-1.77913492,50.9503657,-19.7558993,15.2,15.2
24.6,-20.8419241,47.3525047,-17.4277195,15.2,15.2
24.7,-12.8682889,56.8148834,-25.5162688,15.2,15.2
24.8,-20.0517331,47.5673245,-28.5840458,15.2,15.2
24.9,-7.64993408,29.6358159,-25.6299274,15.2,15.2
25.0,-7.53592966,24.0162377,-19.6651527,15.2,15.2
25.1,-16.6336002,32.8099989,-16.1704314,15.2,15.2
25.2,-17.7353219,14.101499,-7.21134218,15.2,15.2
25.3,-4.70195391,10.2038723,-6.05997303,15.2,15.2
25.4,0.607522607,20.9072308,-6.48225287,15.2,15.2
25.5,-6.27719689,31.9189499,-9.48009328,15.2,15.2
25.6,-7.33692579,18.0847718,-3.46116811,15.2,15.2
25.7,1.96421127,18.6604245,-5.05129827,15.2,15.2
25.8,10.338364,27.1166802,-6.95658987,15.2,15.2
25.9,1.69095282,8.5306115,-1.83476996,15.2,15.2
26.0,-8.38399254,18.9509482,7.19475156,15.2,15.2
26.1,-18.8391206,19.3496115,-0.558610134,15.2,15.2
26.2,-19.6911409,12.9862754,3.03294404,15.2,15.2
26.3,-22.029544,4.94573716,16.4549885,15.2,15.2
26.4,-23.2285721,-1.85018334,23.1091291,15.2,15.2
26.5,-26.7336703,-14.9735432,23.9320199,15.2,15.2
26.6,-21.907055,-12.3786008,34.6103984,15.2,15.2
26.7,-33.1990087,-19.8806435,26.2564728,15.2,15.2
26.8,-15.5279937,-22.0758132,28.7087937,15.2,15.2
26.9,-23.9227793,-25.0286538,33.6958521,15.2,15.2
27.0,-22.8071563,-31.7240249,22.3827757,15.2,15.2
27.1,-31.6734121,-36.9362636,33.1987627,15.2,15.2
27.2,-24.1064237,-45.7690263,14.8811308,15.2,15.2
27.3,-17.6168747,-33.9576317,10.1886553,15.2,15.2
27.4,-11.1378748,-26.9270861,13.4538074,15.2,15.2
27.5,-11.3941354,-26.531718,16.554554,15.2,15.2
27.6,-22.3039299,-25.5703186,19.1232939,15.2,15.2
27.7,-9.58413564,-23.8470718,18.019996,15.2,15.2
27.8,-2.44927101,-0.25929838,-1.41134048,15.2,15.2
27.9,-6.12705881,15.0560308,-1.32958129,15.2,15.2
28.0,-6.45620567,30.7118713,-2.41209143,15.2,15.2
28.1,-7.84473351,28.4416767,-5.99355918,15.2,15.2
28.2,-24.4597299,8.43403743,-1.69125344,15.2,15.2
28.3,-28.8634689,-16.8181039,11.0427749,15.2,15.2
28.4,-11.4383583,-19.543582,11.4347669,15.2,15.2
28.5,-3.81723262,15.4113137,-12.7168396,15.2,15.2
28.6,-0.378359194,17.765207,-30.9369247,15.2,15.2
28.7,-1.18742786,4.5403936,-18.7831467,15.2,15.2
28.8,-3.34521345,14.159253,-31.8964483,15.2,15.2
28.9,4.51869945,24.5887163,-39.4103715,15.2,15.2
29.0,19.1301527,45.579375,-50.7672838,15.2,15.2
29.1,9.85197525,58.6477249,-60.0816058,15.2,15.2
29.2,9.04431375,27.9421086,-47.6188016,15.2,15.2
29.3,2.16755811,24.747385,-39.236832,15.2,15.2
29.4,2.65440687,34.5347101,-53.812508,15.2,15.2
29.5,6.99331331,29.6423979,-50.1944726,15.2,15.2
29.6,0.897169912,8.78530887,-43.6151669,15.2,15.2
29.7,6.77062172,5.64808128,-54.2463968,15.2,15.2
29.8,3.78677304,9.44881539,-47.4266127,15.2,15.2
29.9,4.52659384,12.9642057,-55.1744953,15.2,15.2
30.0,1.74612089,16.2285285,-45.5261522,15.2,15.2
